,foreign_gross,production_budget,net_profit,movie_title,domestic_gross,world_wide_gross_Profit,ROI,genre_ids,id,popularity,release_date,vote_average,vote_count,genres_labels
585,26200000.0,28000000.0,66050951.0,Safe Haven,71399120.0,94050951.0,235.8962535714286,[10749],112949.0,9.095,2013-02-14,7.1,1433.0,Romance
586,64099999.0,18000000.0,84912961.0,Blue Jasmine,33404871.0,102912961.0,471.7386722222222,"[35, 18]",160588.0,10.443,2013-07-26,7.0,1983.0,"Comedy, Drama"
587,64200000.0,60000000.0,15965567.0,The Mortal Instruments: City of Bones,31165421.0,75965567.0,26.609278333333336,"[28, 12, 18, 9648, 10749, 14]",123553.0,16.484,2013-08-21,6.3,2915.0,"Action, Adventure, Drama, Mystery, Romance, Fantasy"
588,48800000.0,58000000.0,35672764.0,The Internship,44672764.0,93672764.0,61.50476551724138,[35],116741.0,0.6,2013-06-07,6.2,2631.0,Comedy
589,24900000.0,3000000.0,88266581.0,The Purge,64473115.0,91266581.0,2942.2193666666667,"[878, 27, 53]",158015.0,24.364,2013-06-06,6.2,4797.0,"Science Fiction, Horror, Thriller"
590,80000000.0,24000000.0,-12276380.0,Dhoom 3,8031955.0,11723620.0,-51.15158333333333,"[28, 53]",44977.0,6.798,2013-12-20,5.9,136.0,"Action, Thriller"
591,71800000.0,12000000.0,77309178.0,About Time,15323921.0,89309178.0,644.24315,"[35, 18, 878]",122906.0,14.133,2013-11-08,7.9,3981.0,"Comedy, Drama, Science Fiction"
592,44700000.0,130000000.0,-50923322.0,R.I.P.D.,33618855.0,79076678.0,-39.171786153846156,"[14, 28, 35, 80]",49524.0,21.377,2013-07-19,5.6,2047.0,"Fantasy, Action, Comedy, Crime"
593,55100000.0,19000000.0,57086711.0,The Book Thief,21488481.0,76086711.0,300.4563736842105,[18],203833.0,9.034,2013-11-08,7.5,2788.0,Drama
595,36500000.0,25000000.0,25738810.0,August: Osage County,37738810.0,50738810.0,102.95524,"[35, 18]",152737.0,9.586,2013-12-27,6.9,843.0,"Comedy, Drama"
596,2300000.0,17000000.0,55835710.0,The Best Man Holiday,70525195.0,72835710.0,328.44535294117645,[35],146304.0,8.581,2013-11-15,6.6,145.0,Comedy
597,54000000.0,25000000.0,46009334.0,The Counselor,16973715.0,71009334.0,184.037336,"[53, 80, 18]",109091.0,10.55,2013-10-25,5.1,1072.0,"Thriller, Crime, Drama"
598,16700000.0,12800000.0,57021476.0,The Call,51872378.0,69821476.0,445.48028124999996,"[80, 53]",158011.0,11.315,2013-03-14,6.7,1779.0,"Crime, Thriller"
600,43400000.0,30000000.0,30512680.0,Runner Runner,19316646.0,60512680.0,101.70893333333333,"[80, 53, 18]",146238.0,10.442,2013-10-02,5.6,761.0,"Crime, Thriller, Drama"
601,32000000.0,28000000.0,35129909.0,Kick-Ass 2,28795985.0,63129909.0,125.46396071428572,"[28, 12, 80]",59859.0,14.793,2013-08-16,6.4,3785.0,"Action, Adventure, Crime"
602,20100000.0,2500000.0,57422558.0,A Haunted House,40041683.0,59922558.0,2296.9023199999997,"[35, 27]",139038.0,6.909,2013-01-11,5.5,871.0,"Comedy, Horror"
603,41100000.0,11000000.0,45178935.0,Quartet,18388357.0,56178935.0,410.7175909090909,"[18, 35, 10749]",121826.0,8.32,2013-01-10,6.6,209.0,"Drama, Comedy, Romance"
604,27900000.0,5000000.0,55611845.0,Dallas Buyers Club,27298285.0,60611845.0,1112.2369,"[18, 36]",152532.0,12.389,2013-11-22,7.9,4961.0,"Drama, History"
606,19300000.0,22000000.0,48536870.0,Delivery Man,30659817.0,70536870.0,220.62213636363634,[35],146239.0,7.962,2013-11-22,6.2,858.0,Comedy
607,36300000.0,30000000.0,18330757.0,The Last Stand,12050299.0,48330757.0,61.10252333333334,"[28, 80, 53]",76640.0,15.894,2013-01-12,5.9,1692.0,"Action, Crime, Thriller"
609,12900000.0,20000000.0,27666013.0,Texas Chainsaw 3D,34341945.0,47666013.0,138.330065,"[27, 53]",76617.0,18.256,2013-01-04,5.3,780.0,"Horror, Thriller"
610,24700000.0,32500000.0,15925971.0,The Big Wedding,21819348.0,48425971.0,49.00298769230769,[35],87567.0,11.231,2013-04-25,5.8,678.0,Comedy
611,28600000.0,35000000.0,13543388.0,Parker,17616641.0,48543388.0,38.695394285714286,"[28, 80]",119283.0,14.95,2013-01-25,5.8,1868.0,"Action, Crime"
612,20100000.0,20000000.0,27508505.0,The World's End,26004851.0,47508505.0,137.54252499999998,"[35, 28, 878]",107985.0,12.719,2013-08-23,6.7,2990.0,"Comedy, Action, Science Fiction"
613,15100000.0,40000000.0,29807260.0,Grudge Match,29807260.0,69807260.0,74.51815,[35],64807.0,7.918,2013-12-25,6.0,711.0,Comedy
614,22900000.0,22000000.0,29695362.0,Homefront,20158492.0,51695362.0,134.9789181818182,"[28, 53]",204082.0,14.422,2013-11-27,6.5,1410.0,"Action, Thriller"
615,14977272.0,15000000.0,42907734.0,Snitch,42930462.0,57907734.0,286.05156,[],295180.0,0.6,2011-01-01,1.0,1.0,
616,14977272.0,15000000.0,42907734.0,Snitch,42930462.0,57907734.0,286.05156,"[53, 18]",134411.0,16.673,2013-02-22,5.9,1493.0,"Thriller, Drama"
617,19800000.0,18000000.0,25402515.0,Jobs,16131410.0,43402515.0,141.12508333333332,"[18, 36]",115782.0,8.023,2013-08-16,6.1,1622.0,"Drama, History"
618,14100000.0,15000000.0,32011449.0,The Place Beyond the Pines,21403519.0,47011449.0,213.40966,"[18, 80]",97367.0,12.96,2013-03-27,6.9,2781.0,"Drama, Crime"
619,19700000.0,11000000.0,21943247.0,Inside Llewyn Davis,13248209.0,32943247.0,199.48406363636363,[18],86829.0,10.549,2013-12-06,7.2,1400.0,Drama
620,11000000.0,10000000.0,21556959.0,Mud,21590086.0,31556959.0,215.56959,[18],103731.0,12.507,2013-05-10,7.0,1592.0,Drama
621,23600000.0,10000000.0,21164747.0,Movie 43,8840453.0,31164747.0,211.64747,[35],87818.0,12.813,2013-01-25,4.4,1332.0,Comedy
622,74000.0,2500000.0,29827255.0,Kevin Hart: Let Me Explain,32244051.0,32327255.0,1193.0901999999999,"[35, 99]",181330.0,8.476,2013-07-03,6.9,142.0,"Comedy, Documentary"
623,17600000.0,5000000.0,26149251.0,Spring Breakers,14124286.0,31149251.0,522.98502,"[18, 80]",122081.0,10.691,2013-03-15,5.0,2495.0,"Drama, Crime"
624,6000000.0,5500000.0,35768579.0,Don Jon,24477704.0,41268579.0,650.3378,"[10749, 35, 18]",138697.0,12.78,2013-09-27,5.9,2709.0,"Romance, Comedy, Drama"
625,10000000.0,12000000.0,12761360.0,Nebraska,17654912.0,24761360.0,106.34466666666667,"[18, 12]",129670.0,9.521,2013-11-15,7.4,967.0,"Drama, Adventure"
626,4900000.0,32000000.0,-4607391.0,The Incredible Burt Wonderstone,22537881.0,27392609.0,-14.398096875,[35],124459.0,9.362,2013-03-15,5.4,920.0,Comedy
627,19000000.0,35000000.0,-5109598.0,Mandela: Long Walk to Freedom,8323085.0,29890402.0,-14.59885142857143,"[18, 36]",192136.0,8.262,2013-12-25,6.9,319.0,"Drama, History"
628,9000000.0,3500000.0,24204111.0,Dark Skies,17418667.0,27704111.0,691.5460285714286,"[878, 53, 27]",145135.0,11.582,2013-02-22,6.1,1004.0,"Science Fiction, Thriller, Horror"
629,7700000.0,8000000.0,17621449.0,Enough Said,17550872.0,25621449.0,220.26811249999997,"[35, 18, 10749]",209263.0,8.722,2013-09-18,6.7,464.0,"Comedy, Drama, Romance"
630,21900000.0,16000000.0,6594052.0,Trance,2322593.0,22594052.0,41.212824999999995,"[53, 80, 18, 9648]",68727.0,9.571,2013-04-05,6.6,1348.0,"Thriller, Crime, Drama, Mystery"
631,887000.0,8500000.0,14385836.0,Baggage Claim,21569509.0,22885836.0,169.2451294117647,[35],175528.0,8.666,2013-09-27,5.4,127.0,Comedy
632,18000000.0,9000000.0,11395040.0,The Sapphires,2450867.0,20395040.0,126.61155555555557,"[35, 18]",110146.0,6.16,2013-03-22,6.7,97.0,"Comedy, Drama"
